Redewendung	sort_order	id	re1	re2	n_cum_1	n_seq_1	n_ic_cum_1	n_ic_seq_1	n_cum_2	n_seq_2	n_ic_cum_2	n_ic_seq_2	n_manual	n_manual_cmt	n_final	link
einen Hund aus dem Ofen locken	844	844	einen Hund + aus dem Ofen + lock		0	129 -> 0 -> 0	0	129 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_Hund_aus_dem_Ofen_locken
einen im Tee haben	845	845	einen im Tee + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_im_Tee_haben
einen in der Krone haben	846	846	einen in der Krone + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_in_der_Krone_haben
einen Kloß im Hals haben	847	847	einen Kloß im Hals + HABEN		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/einen_Klo%C3%9F_im_Hals_haben
einen Knall haben	848	848	einen Knall + HABEN		12	27 -> 12	12	27 -> 12							12	https://de.wiktionary.org/wiki/einen_Knall_haben
einen Korb bekommen	849	849	einen Korb + BEKOMMEN		3	51 -> 3	3	51 -> 3							3	https://de.wiktionary.org/wiki/einen_Korb_bekommen
einen Korb kriegen	850	850	einen Korb + KRIEGEN		0	51 -> 0	0	51 -> 0							0	https://de.wiktionary.org/wiki/einen_Korb_kriegen
einen Krebs fangen	851	851	einen Krebs + FANGEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/einen_Krebs_fangen
einen kühlen Kopf bewahren	852	852	einen kühlen Kopf + bewahr	einen kühlen Kopf + BEHALTEN	26	45 -> 26	26	45 -> 26	16	45 -> 16	16	45 -> 16			26	https://de.wiktionary.org/wiki/einen_k%C3%BChlen_Kopf_bewahren
einen Lauf haben	853	853	einen Lauf + HABEN		32	48 -> 32	33	48 -> 33							32	https://de.wiktionary.org/wiki/einen_Lauf_haben
einen Metzgergang machen	854	854	einen Metzgergang + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Metzgergang_machen
einen Metzgersgang machen	855	855	einen Metzgersgang + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Metzgersgang_machen
einen Mohren weiß waschen wollen	856	856	einen Mohren + weiß + waschen + WOLLEN		0	1 -> 0 -> 0 -> 0	0	1 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_Mohren_wei%C3%9F_waschen_wollen
einen Narren an jemandem gefressen haben	857	857	einen Narren + gefressen		1	2 -> 1	1	2 -> 1							1	https://de.wiktionary.org/wiki/einen_Narren_an_jemandem_gefressen_haben
einen Neger abseilen	858	858	einen Neger + \bab(\b|s|z|g) + seil		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_Neger_abseilen
einen Pik auf jemanden haben	859	859	einen Pik auf + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Pik_auf_jemanden_haben
einen rauchen	860	860	einen + RAUCHEN + MANUAL_REVIEW		26	152725 -> 26 -> 26	143	152734 -> 143 -> 143					0		0	https://de.wiktionary.org/wiki/einen_rauchen
einen Reif anstecken	861	861	einen Reif + \ban(\b|s|z|g) + _STECKEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_Reif_anstecken
einen Reif ausstecken	862	862	einen Reif + \baus(\b|s|z|g) + _STECKEN		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/einen_Reif_ausstecken
einen runterholen	863	863	einen + \brunter(\b|h|z|g) + _HOLEN		3	152725 -> 28 -> 3	3	152734 -> 29 -> 3							3	https://de.wiktionary.org/wiki/einen_runterholen
einen Rückzieher machen	864	864	einen Rückzieher + MACHEN		51	54 -> 51	52	54 -> 52							51	https://de.wiktionary.org/wiki/einen_R%C3%BCckzieher_machen
einen Schatten haben	865	865	einen Schatten + HABEN		7	24 -> 7	7	24 -> 7							7	https://de.wiktionary.org/wiki/einen_Schatten_haben
einen Schlachtergang machen	866	866	einen Schlachtergang + MACHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Schlachtergang_machen
einen Schlussstrich ziehen	867	867	einen Schlusstrich + ZIEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Schlussstrich_ziehen
einen Schmarren	868	868	einen Schmarren		1	1	1	1							1	https://de.wiktionary.org/wiki/einen_Schmarren
einen Schnitt machen	869	869	einen Schnitt + MACHEN		5	23 -> 5	5	23 -> 5							5	https://de.wiktionary.org/wiki/einen_Schnitt_machen
einen sitzen haben	870	870	einen sitzen + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_sitzen_haben
einen Sprung in der Schüssel haben	871	871	einen Sprung in der Schüssel + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Sprung_in_der_Sch%C3%BCssel_haben
einen Stock im Arsch haben	872	872	einen Stock im Arsch + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einen_Stock_im_Arsch_haben
einen Türken bauen	873	873	einen Türken + BAUEN + MANUAL_REVIEW		0	4 -> 0 -> 0	0	4 -> 0 -> 0					1		1	https://de.wiktionary.org/wiki/einen_T%C3%BCrken_bauen
einen Versuchsballon starten	874	874	einen Versuchsballon + start		0	2 -> 0	0	2 -> 0							0	https://de.wiktionary.org/wiki/einen_Versuchsballon_starten
einen Vogel haben	875	875	einen Vogel + HABEN + MANUAL_REVIEW		17	27 -> 17 -> 17	17	27 -> 17 -> 17							17	https://de.wiktionary.org/wiki/einen_Vogel_haben
einen Zahn zulegen	876	876	Zahn zu(\b|l|z|g) + _LEGEN	einen Zahn zu(\b|l|z|g) + _LEGEN	13	21 -> 13	14	22 -> 14	12	13 -> 12	13	13 -> 13			13	https://de.wiktionary.org/wiki/einen_Zahn_zulegen
einen zur Brust nehmen	877	877	einen + zur Brust + NEHMEN		2	152725 -> 4 -> 2	2	152734 -> 4 -> 2							2	https://de.wiktionary.org/wiki/einen_zur_Brust_nehmen
einer Sache auf den Grund gehen	878	878	auf den Grund + GEHEN		130	156 -> 130	132	157 -> 132							130	https://de.wiktionary.org/wiki/einer_Sache_auf_den_Grund_gehen
einer Sache freien Lauf lassen	879	879	freien Lauf + LASSEN		107	121 -> 107	117	122 -> 117							107	https://de.wiktionary.org/wiki/einer_Sache_freien_Lauf_lassen
einer Sache ihren Lauf lassen	880	880	SEINMA Lauf + LASSEN		6	180 -> 6	8	180 -> 8							6	https://de.wiktionary.org/wiki/einer_Sache_ihren_Lauf_lassen
einmal hü und einmal hott sagen	881	881	einmal hü und einmal hott + SAGEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/einmal_h%C3%BC_und_einmal_hott_sagen
einmal mehr	882	882	einmal mehr		1132	1132	1132	1132							1132	https://de.wiktionary.org/wiki/einmal_mehr
einpacken können	883	883	einpacken + KÖNNEN		18	57 -> 18	19	57 -> 19							18	https://de.wiktionary.org/wiki/einpacken_k%C3%B6nnen
eins a	884	884	eins a		0	0	2	2							0	https://de.wiktionary.org/wiki/eins_a
eins auf den Pelz brennen	885	885	auf den Pelz + BRENNEN		0	1 -> 0	0	1 -> 0							0	https://de.wiktionary.org/wiki/eins_auf_den_Pelz_brennen
eins hinter die Löffel geben	886	886	eins hinter die Löffel + GEBEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/eins_hinter_die_L%C3%B6ffel_geben
eins und eins zusammenzählen	887	887	eins und eins + zusammen	zwei und zwei + zusammen	1	6 -> 1	1	6 -> 1	0	4 -> 0	0	5 -> 0			1	https://de.wiktionary.org/wiki/eins_und_eins_zusammenz%C3%A4hlen
einschlagen wie eine Bombe	888	888	wie eine Bombe + \bein(\b|s|z|g) + _SCHLAGEN		14	20 -> 14 -> 14	14	20 -> 15 -> 14							14	https://de.wiktionary.org/wiki/einschlagen_wie_eine_Bombe
einstürzen wie ein Kartenhaus	889	889	wie ein Kartenhaus		4	4	4	4							4	https://de.wiktionary.org/wiki/einst%C3%BCrzen_wie_ein_Kartenhaus
einzig und allein	890	890	einzig und allein		91	91	91	91							91	https://de.wiktionary.org/wiki/einzig_und_allein
empfindlich wie eine Mimose sein	891	891	empfindlich + wie eine Mimose		0	251 -> 0	0	251 -> 0							0	https://de.wiktionary.org/wiki/empfindlich_wie_eine_Mimose_sein
erfroren sind schon viele, aber erstunken ist noch keiner	892	892	erfroren sind schon viele + erstunken + noch + keiner		0	0 -> 0 -> 0 -> 0	0	0 -> 0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/erfroren_sind_schon_viele%2C_aber_erstunken_ist_noch_keiner
erlaubt ist, was gefällt	893	893	erlaubt ist, was gefällt		2	2	2	2							2	https://de.wiktionary.org/wiki/erlaubt_ist%2C_was_gef%C3%A4llt
erste Sahne sein	894	894	erste Sahne + SEIN		5	8 -> 5	5	8 -> 5							5	https://de.wiktionary.org/wiki/erste_Sahne_sein
Erster von hinten	895	895	Erster von hinten		0	0	0	0							0	https://de.wiktionary.org/wiki/Erster_von_hinten
erstunken und erlogen	896	896	erstunken und erlogen		6	6	6	6							6	https://de.wiktionary.org/wiki/erstunken_und_erlogen
es darauf ankommen lassen	897	897	es + darauf ankommen + LASSEN		11	346507 -> 29 -> 11	11	346577 -> 29 -> 11							11	https://de.wiktionary.org/wiki/es_darauf_ankommen_lassen
es drauf ankommen lassen	898	898	es + drauf ankommen + LASSEN		1	346507 -> 1 -> 1	1	346577 -> 1 -> 1							1	https://de.wiktionary.org/wiki/es_drauf_ankommen_lassen
es faustdick hinter den Ohren haben	899	899	faustdick hinter den Ohren + HABEN		6	6 -> 6	6	6 -> 6							6	https://de.wiktionary.org/wiki/es_faustdick_hinter_den_Ohren_haben
es geht die Rede	900	900	es + die Rede + GEHEN		21	346507 -> 155 -> 21	24	346577 -> 155 -> 24							21	https://de.wiktionary.org/wiki/es_geht_die_Rede
es geht um die Wurst	901	901	um die Wurst + GEHEN		16	17 -> 16	17	17 -> 17							16	https://de.wiktionary.org/wiki/es_geht_um_die_Wurst
es ist höchste Eisenbahn	902	902	höchste Eisenbahn + SEIN		8	10 -> 8	8	10 -> 8							8	https://de.wiktionary.org/wiki/es_ist_h%C3%B6chste_Eisenbahn
es ist um jemanden geschehen	903	903	um + geschehen + SEIN + MANUAL_REVIEW		65	162459 -> 133 -> 65 -> 65	65	162481 -> 133 -> 65 -> 65					0		0	https://de.wiktionary.org/wiki/es_ist_um_jemanden_geschehen
es jemandem gleichtun	904	904	es + \bgleich(t|g|\b) + GLEICHTUN		73	346507 -> 1226 -> 73	85	346577 -> 1426 -> 85							73	https://de.wiktionary.org/wiki/es_jemandem_gleichtun
es jemandem recht machen	905	905	es + recht + MACHEN		68	346507 -> 1155 -> 68	75	346577 -> 1156 -> 75							68	https://de.wiktionary.org/wiki/es_jemandem_recht_machen
es juckt jemandem in den Fingern	906	906	in den Fingern + juck		5	14 -> 5	6	14 -> 6							5	https://de.wiktionary.org/wiki/es_juckt_jemandem_in_den_Fingern
es koste, was es wolle	907	907	es koste + was es wolle		0	4 -> 0	0	4 -> 0							0	https://de.wiktionary.org/wiki/es_koste%2C_was_es_wolle
es krachen lassen	908	908	es krachen + LASSEN		5	10 -> 5	7	10 -> 7							5	https://de.wiktionary.org/wiki/es_krachen_lassen
es kurz machen	909	909	es kurz + MACHEN		15	100 -> 15	18	101 -> 18							15	https://de.wiktionary.org/wiki/es_kurz_machen
es mit jemandem treiben	910	910	es + mit + TREIBEN + MANUAL_REVIEW		62	346507 -> 43456 -> 62 -> 62	128	346577 -> 43478 -> 128 -> 128					2		2	https://de.wiktionary.org/wiki/es_mit_jemandem_treiben
es sich anders überlegen	911	911	es + SICH + anders + \büber(\b|l|z|g) + _LEGEN		33	346507 -> 47621 -> 371 -> 40 -> 33	35	346577 -> 47634 -> 372 -> 44 -> 35							33	https://de.wiktionary.org/wiki/es_sich_anders_%C3%BCberlegen
es zieht wie Hechtsuppe	912	912	wie Hechtsuppe + ZIEHEN		3	3 -> 3	3	3 -> 3							3	https://de.wiktionary.org/wiki/es_zieht_wie_Hechtsuppe
es zieht wie in einem Vogelhaus	913	913	wie in einem Vogelhaus + ZIEHEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/es_zieht_wie_in_einem_Vogelhaus
es zu bunt treiben	914	914	es + zu bunt + TREIBEN		1	346507 -> 16 -> 1	1	346577 -> 16 -> 1							1	https://de.wiktionary.org/wiki/es_zu_bunt_treiben
es über sich gewinnen, etwas zu tun	915	915	es + über SICHB + GEWINNEN		0	346507 -> 68 -> 0	0	346577 -> 69 -> 0							0	https://de.wiktionary.org/wiki/es_%C3%BCber_sich_gewinnen%2C_etwas_zu_tun
etwas am Kerbholz haben	916	916	etwas am Kerbholz + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/etwas_am_Kerbholz_haben
etwas an den Haaren herbeiziehen	917	917	an den Haaren + \bherbei(\b|z|g) + _ZIEHEN		22	48 -> 23 -> 22	23	49 -> 24 -> 23							22	https://de.wiktionary.org/wiki/etwas_an_den_Haaren_herbeiziehen
etwas an den Mann bringen	918	918	an den Mann + BRINGEN		44	52 -> 44	44	52 -> 44							44	https://de.wiktionary.org/wiki/etwas_an_den_Mann_bringen
etwas an den Nagel hängen	919	919	an den Nagel + häng		69	71 -> 69	70	71 -> 70							69	https://de.wiktionary.org/wiki/etwas_an_den_Nagel_h%C3%A4ngen
etwas an den Tag legen	920	920	an den Tag + LEGEN		193	227 -> 193	194	227 -> 194							193	https://de.wiktionary.org/wiki/etwas_an_den_Tag_legen
etwas an die große Glocke hängen	921	921	an die große Glocke + HÄNGENHÄNGTE		13	13 -> 13	13	13 -> 13							13	https://de.wiktionary.org/wiki/etwas_an_die_gro%C3%9Fe_Glocke_h%C3%A4ngen
etwas an die Wand fahren	922	922	an die Wand + FAHREN		21	165 -> 21	21	167 -> 21							21	https://de.wiktionary.org/wiki/etwas_an_die_Wand_fahren
etwas auf Abbruch verkaufen	923	923	auf Abbruch + verkauf		10	14 -> 10	11	14 -> 11							10	https://de.wiktionary.org/wiki/etwas_auf_Abbruch_verkaufen
etwas auf dem Buckel haben	924	924	auf dem Buckel + HABEN		40	51 -> 40	40	51 -> 40							40	https://de.wiktionary.org/wiki/etwas_auf_dem_Buckel_haben
etwas auf dem Kasten haben	925	925	auf dem Kasten + HABEN		6	6 -> 6	6	6 -> 6							6	https://de.wiktionary.org/wiki/etwas_auf_dem_Kasten_haben
etwas auf dem Kerbholz haben	926	926	auf dem Kerbholz		12	12	12	12							12	https://de.wiktionary.org/wiki/etwas_auf_dem_Kerbholz_haben
etwas auf den Kopf stellen	927	927	auf den Kopf + STELLEN		150	350 -> 150	153	351 -> 153							150	https://de.wiktionary.org/wiki/etwas_auf_den_Kopf_stellen
etwas auf der Pfanne haben	928	928	auf der Pfanne + HABEN		2	2 -> 2	2	2 -> 2							2	https://de.wiktionary.org/wiki/etwas_auf_der_Pfanne_haben
etwas auf die hohe Kante legen	929	929	auf die hohe Kante + LEGEN		4	5 -> 4	4	5 -> 4							4	https://de.wiktionary.org/wiki/etwas_auf_die_hohe_Kante_legen
etwas auf die lange Bank schieben	930	930	auf die lange Bank + SCHIEBEN		28	28 -> 28	28	28 -> 28							28	https://de.wiktionary.org/wiki/etwas_auf_die_lange_Bank_schieben
etwas auf die leichte Schulter nehmen	931	931	auf die leichte Schulter + NEHMEN		37	37 -> 37	37	37 -> 37							37	https://de.wiktionary.org/wiki/etwas_auf_die_leichte_Schulter_nehmen
etwas auf die Sprünge helfen	932	932	auf die Sprünge + HELFEN		58	60 -> 58	59	60 -> 59							58	https://de.wiktionary.org/wiki/etwas_auf_die_Spr%C3%BCnge_helfen
etwas auf Eis legen	933	933	auf Eis + LEGEN		156	280 -> 156	156	280 -> 156							156	https://de.wiktionary.org/wiki/etwas_auf_Eis_legen
etwas auf Pump kaufen	934	934	auf Pump + KAUFEN		6	45 -> 6	10	45 -> 10							6	https://de.wiktionary.org/wiki/etwas_auf_Pump_kaufen
etwas auf seine Kappe nehmen	935	935	auf SEINFA Kappe + NEHMEN		11	18 -> 11	11	18 -> 11							11	https://de.wiktionary.org/wiki/etwas_auf_seine_Kappe_nehmen
etwas aufs Spiel setzen	936	936	auf Spiel + SETZEN		3	7 -> 3	3	7 -> 3							3	https://de.wiktionary.org/wiki/etwas_aufs_Spiel_setzen
etwas aufsaugen wie ein Schwamm	937	937	wie ein Schwamm + \bauf(\b|s|z|g) + _SAUGEN		7	12 -> 8 -> 7	7	12 -> 8 -> 7							7	https://de.wiktionary.org/wiki/etwas_aufsaugen_wie_ein_Schwamm
etwas aus dem Boden stampfen	938	938	aus dem Boden + stampf		47	151 -> 47	47	151 -> 47							47	https://de.wiktionary.org/wiki/etwas_aus_dem_Boden_stampfen
etwas aus dem Ärmel schütteln	939	939	aus dem Ärmel + schütt[el]		11	14 -> 11	11	14 -> 11							11	https://de.wiktionary.org/wiki/etwas_aus_dem_%C3%84rmel_sch%C3%BCtteln
etwas aus den Angeln heben	940	940	aus den Angeln + HEBEN		22	24 -> 22	22	24 -> 22							22	https://de.wiktionary.org/wiki/etwas_aus_den_Angeln_heben
etwas aus der Taufe heben	941	941	aus der Taufe + HEBEN		68	69 -> 68	68	69 -> 68							68	https://de.wiktionary.org/wiki/etwas_aus_der_Taufe_heben
etwas aus der Welt schaffen	942	942	aus der Welt + schaff		55	180 -> 55	55	181 -> 55							55	https://de.wiktionary.org/wiki/etwas_aus_der_Welt_schaffen
etwas ausbaden müssen	943	943	ausbaden + MÜSSEN		29	40 -> 29	30	40 -> 30							29	https://de.wiktionary.org/wiki/etwas_ausbaden_m%C3%BCssen
etwas ausgefressen haben	944	944	etwas ausgefressen + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/etwas_ausgefressen_haben
etwas außer Dienst stellen	945	945	außer Dienst + STELLEN		124	158 -> 124	125	158 -> 125							124	https://de.wiktionary.org/wiki/etwas_au%C3%9Fer_Dienst_stellen
etwas den letzten Schliff geben	946	946	den letzten Schliff + GEBEN		7	22 -> 7	7	22 -> 7							7	https://de.wiktionary.org/wiki/etwas_den_letzten_Schliff_geben
etwas die Spitze abbrechen	947	947	die Spitze + \bab(\b|b|z|g) + _BRECHEN		3	1002 -> 37 -> 3	3	1004 -> 43 -> 3							3	https://de.wiktionary.org/wiki/etwas_die_Spitze_abbrechen
etwas die Spitze nehmen	948	948	die Spitze + NEHMEN		5	1002 -> 5	6	1004 -> 6							5	https://de.wiktionary.org/wiki/etwas_die_Spitze_nehmen
etwas durch die rosarote Brille sehen	949	949	durch die rosarote Brille + SEHEN		2	3 -> 2	2	3 -> 2							2	https://de.wiktionary.org/wiki/etwas_durch_die_rosarote_Brille_sehen
etwas eine Abfuhr erteilen	950	950	eine Abfuhr + \berteil		12	24 -> 12	12	24 -> 12							12	https://de.wiktionary.org/wiki/etwas_eine_Abfuhr_erteilen
etwas für bare Münze nehmen	951	951	für bare Münze + NEHMEN		16	18 -> 16	16	18 -> 16							16	https://de.wiktionary.org/wiki/etwas_f%C3%BCr_bare_M%C3%BCnze_nehmen
etwas für einen Apfel und ein Ei kaufen	952	952	für einen Apfel und ein Ei + KAUFEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/etwas_f%C3%BCr_einen_Apfel_und_ein_Ei_kaufen
etwas fürchten wie der Teufel das Weihwasser	953	953	wie der Teufel + das Weihwasser		3	5 -> 3	3	5 -> 3							3	https://de.wiktionary.org/wiki/etwas_f%C3%BCrchten_wie_der_Teufel_das_Weihwasser
etwas gebacken kriegen	954	954	etwas gebacken + KRIEGEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/etwas_gebacken_kriegen
etwas gegen die Wand fahren	955	955	gegen die Wand + FAHREN		19	55 -> 19	20	55 -> 20							19	https://de.wiktionary.org/wiki/etwas_gegen_die_Wand_fahren
etwas geht jemandem am Arsch vorbei	956	956	am Arsch + \bvorbei(\b|z|g) + _GEHEN		5	20 -> 6 -> 5	6	20 -> 6 -> 6							5	https://de.wiktionary.org/wiki/etwas_geht_jemandem_am_Arsch_vorbei
etwas Herr werden	957	957	Herr + WERDEN + MANUAL_REVIEW		489	3182 -> 489 -> 489	500	3196 -> 500 -> 500					78	8/50 * 489	78	https://de.wiktionary.org/wiki/etwas_Herr_werden
etwas hängt einem zum Hals raus	958	958	einem zum Hals + \braus(\b|h|z|g) + häng		0	0 -> 0 -> 0	0	0 -> 0 -> 0							0	https://de.wiktionary.org/wiki/etwas_h%C3%A4ngt_einem_zum_Hals_raus
etwas im Auge haben	959	959	etwas im Auge + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/etwas_im_Auge_haben
etwas im Griff haben	960	960	im Griff + HABEN		316	421 -> 316	326	424 -> 326							316	https://de.wiktionary.org/wiki/etwas_im_Griff_haben
etwas im Keim ersticken	961	961	im Keim + erstick		59	63 -> 59	59	63 -> 59							59	https://de.wiktionary.org/wiki/etwas_im_Keim_ersticken
etwas im Kopf haben	962	962	etwas im Kopf + HABEN		1	1 -> 1	1	1 -> 1							1	https://de.wiktionary.org/wiki/etwas_im_Kopf_haben
etwas im Schilde führen	963	963	im Schilde + FÜHREN		25	28 -> 25	25	28 -> 25							25	https://de.wiktionary.org/wiki/etwas_im_Schilde_f%C3%BChren
etwas im Urin haben	964	964	im Urin + HABEN		4	29 -> 4	4	29 -> 4							4	https://de.wiktionary.org/wiki/etwas_im_Urin_haben
etwas im Urin spüren	965	965	im Urin + spür		0	29 -> 0	0	29 -> 0							0	https://de.wiktionary.org/wiki/etwas_im_Urin_sp%C3%BCren
etwas in Abrede stellen	966	966	in Abrede + STELLEN		37	37 -> 37	37	37 -> 37							37	https://de.wiktionary.org/wiki/etwas_in_Abrede_stellen
etwas in Angriff nehmen	967	967	in Angriff + NEHMEN		342	351 -> 342	342	351 -> 342							342	https://de.wiktionary.org/wiki/etwas_in_Angriff_nehmen
etwas in Brand setzen	968	968	in Brand + SETZEN		214	631 -> 214	214	631 -> 214							214	https://de.wiktionary.org/wiki/etwas_in_Brand_setzen
etwas in Brand stecken	969	969	in Brand + STECKEN		110	631 -> 110	111	631 -> 111							110	https://de.wiktionary.org/wiki/etwas_in_Brand_stecken
etwas in den falschen Hals bekommen	970	970	in den falschen Hals + BEKOMMEN		1	5 -> 1	1	5 -> 1							1	https://de.wiktionary.org/wiki/etwas_in_den_falschen_Hals_bekommen
etwas in den Raum stellen	971	971	in den Raum + STELLEN		49	155 -> 49	49	155 -> 49							49	https://de.wiktionary.org/wiki/etwas_in_den_Raum_stellen
etwas in den Sand setzen	972	972	in den Sand + SETZEN		35	96 -> 35	36	97 -> 36							35	https://de.wiktionary.org/wiki/etwas_in_den_Sand_setzen
etwas in der Tasche haben	973	973	in der Tasche + HABEN		134	227 -> 134	135	228 -> 135							134	https://de.wiktionary.org/wiki/etwas_in_der_Tasche_haben
etwas in die Hand nehmen	974	974	in die Hand + NEHMEN		348	565 -> 348	355	568 -> 355							348	https://de.wiktionary.org/wiki/etwas_in_die_Hand_nehmen
etwas in die Wege leiten	975	975	in den Weg + LEITEN		0	151 -> 0	1	152 -> 1							0	https://de.wiktionary.org/wiki/etwas_in_die_Wege_leiten
etwas in Gang bringen	976	976	in Gang + BRINGEN		55	396 -> 55	55	397 -> 55							55	https://de.wiktionary.org/wiki/etwas_in_Gang_bringen
etwas in Gang setzen	977	977	in Gang + SETZEN		214	396 -> 214	216	397 -> 216							214	https://de.wiktionary.org/wiki/etwas_in_Gang_setzen
etwas in Grenzen halten	978	978	in Grenzen + HALTEN		382	389 -> 382	382	389 -> 382							382	https://de.wiktionary.org/wiki/etwas_in_Grenzen_halten
etwas in Kauf nehmen	979	979	in Kauf + NEHMEN + MANUAL_REVIEW		517	520 -> 517 -> 517	522	524 -> 522 -> 522							517	https://de.wiktionary.org/wiki/etwas_in_Kauf_nehmen
etwas in petto haben	980	980	etwas in petto + HABEN		0	0 -> 0	0	0 -> 0							0	https://de.wiktionary.org/wiki/etwas_in_petto_haben
etwas in Schuss halten	981	981	in Schuss + HALTEN		14	47 -> 14	14	47 -> 14							14	https://de.wiktionary.org/wiki/etwas_in_Schuss_halten
etwas in Schutt und Asche legen	982	982	in Schutt und Asche + LEGEN		35	56 -> 35	35	56 -> 35							35	https://de.wiktionary.org/wiki/etwas_in_Schutt_und_Asche_legen
etwas in vollen Zügen genießen	983	983	in vollen Zügen + GENIEẞEN		41	52 -> 41	43	52 -> 43							41	https://de.wiktionary.org/wiki/etwas_in_vollen_Z%C3%BCgen_genie%C3%9Fen
etwas in- und auswendig kennen	984	984	auswendig + KENNEN		27	104 -> 27	27	104 -> 27							27	https://de.wiktionary.org/wiki/etwas_in-_und_auswendig_kennen
